student_id,semester,attendance_percentage,internal_marks,assignment_marks,study_hours_per_day,previous_sgpa,backlogs,lab_performance,participation,final_sgpa,performance
VTU64438,4,68.2,31.4,12.4,3.3,8.8,1,84.3,56.0,7.4,Good
VTU48540,3,59.0,45.7,29.6,3.7,6.78,1,86.0,77.3,7.0,Good
VTU77724,5,29.5,25.4,20.0,1.4,4.43,3,69.4,23.5,3.67,Poor
VTU71492,3,56.0,19.8,12.2,1.2,3.71,1,45.6,13.8,4.32,Poor
VTU80498,7,43.8,11.3,19.9,1.8,4.6,4,34.3,27.7,4.85,Poor
VTU59435,2,74.2,31.1,28.3,2.5,7.43,1,77.3,61.9,6.45,Good
VTU34550,7,50.9,15.0,17.5,6.0,4.63,3,90.0,67.5,5.28,Average
VTU84440,1,61.8,15.0,14.8,3.0,5.67,6,45.9,38.0,4.84,Poor
VTU39112,1,81.4,36.1,37.0,5.6,8.8,0,80.8,70.7,6.89,Good
VTU33200,6,68.5,24.3,22.6,2.8,5.57,1,66.1,65.9,6.67,Average
VTU28956,8,73.8,27.0,28.8,0.9,5.56,3,55.6,59.6,6.65,Average
VTU17511,4,69.3,23.1,34.5,3.1,5.35,1,62.2,76.4,6.97,Average
VTU45630,5,65.4,31.1,26.1,2.9,8.8,2,76.8,68.4,7.34,Good
VTU15577,3,65.7,35.0,36.9,3.9,4.48,0,67.4,38.0,4.8,Average
VTU44493,5,76.2,35.9,33.0,3.5,6.81,3,69.5,71.0,7.51,Good
VTU92199,3,96.2,39.4,32.0,5.4,8.94,0,92.7,81.7,8.92,Excellent
VTU68523,6,71.9,37.2,26.1,6.6,7.25,2,77.6,65.6,7.53,Good
VTU93806,3,78.4,46.2,50.0,9.6,9.13,0,81.2,70.2,7.96,Excellent
VTU86916,6,63.4,18.2,10.2,2.2,4.67,3,31.4,31.1,4.7,Poor
VTU45251,8,70.7,32.1,37.0,3.3,6.58,0,65.7,93.6,7.67,Good
VTU97698,7,87.7,40.1,23.3,5.0,8.06,0,95.0,79.9,8.16,Excellent
VTU70162,1,44.5,16.9,17.9,3.2,6.07,2,42.2,37.7,4.05,Poor
VTU54927,4,69.5,40.4,24.6,4.3,7.05,1,86.7,79.1,6.76,Good
VTU02224,7,63.3,30.5,37.8,2.5,6.54,4,51.1,44.5,7.12,Average
VTU94467,1,81.3,32.2,41.3,7.6,8.69,0,88.4,96.1,8.01,Excellent
VTU36166,7,78.9,34.2,29.3,4.2,7.5,0,57.3,39.9,6.67,Average
VTU18574,1,67.7,24.4,12.6,2.8,5.31,5,65.1,39.8,5.67,Average
VTU95862,4,84.8,37.4,37.3,7.2,8.68,0,83.3,86.9,8.39,Excellent
VTU52365,3,67.8,36.0,27.4,5.9,6.71,1,80.3,61.4,6.94,Good
VTU97507,6,93.2,47.9,34.9,6.8,7.54,0,94.0,87.4,9.15,Excellent
VTU19579,7,73.9,33.7,26.7,2.2,5.9,4,56.5,53.1,7.11,Average
VTU99173,3,76.4,41.0,41.2,8.3,6.92,1,83.6,78.3,10.0,Excellent
VTU16994,5,68.2,19.7,33.7,3.0,6.31,0,56.4,71.1,6.79,Average
VTU96518,5,89.4,46.9,28.4,3.8,8.28,0,83.2,84.8,9.32,Excellent
VTU79400,8,49.6,10.6,0.0,2.7,3.03,4,43.6,17.6,6.0,Poor
VTU46245,7,64.3,34.1,38.1,1.2,6.87,0,68.6,95.0,7.46,Good
VTU47448,3,75.1,48.0,36.8,4.2,6.49,0,82.8,62.2,7.99,Good
VTU08446,6,56.9,25.0,22.3,5.5,5.49,3,59.3,54.2,5.55,Average
VTU98455,2,84.0,48.3,37.9,8.7,7.6,0,81.3,74.1,8.04,Excellent
VTU82322,3,55.0,28.9,20.8,1.7,4.81,0,64.6,23.3,4.82,Poor
VTU66115,3,76.4,36.5,29.7,3.8,5.56,0,72.5,65.8,6.95,Good
VTU45244,3,85.8,35.7,36.7,3.7,7.94,1,70.0,91.6,7.36,Good
VTU77148,4,78.0,8.7,11.6,2.4,5.09,6,50.5,29.3,4.15,Poor
VTU71279,7,41.9,22.7,24.1,2.3,2.99,0,51.5,16.4,4.38,Poor
VTU18634,3,63.1,23.6,18.1,1.8,4.94,1,71.7,46.0,6.99,Average
VTU97712,7,95.1,39.2,33.8,7.2,8.58,0,91.7,75.0,8.48,Excellent
VTU10886,7,75.3,13.5,20.4,2.5,5.06,4,68.1,59.0,6.74,Average
VTU27052,2,41.7,25.6,24.2,2.0,4.97,1,76.6,53.2,6.01,Average
VTU63545,5,85.1,43.0,31.7,3.6,7.55,3,88.1,61.8,7.32,Good
VTU48234,5,66.0,45.7,41.0,3.9,6.61,0,66.5,69.1,7.21,Good
VTU43682,2,81.5,40.6,30.9,3.7,6.45,1,72.7,66.0,7.1,Good
VTU59300,4,97.0,27.7,22.0,3.9,6.79,1,81.0,58.9,8.34,Good
VTU43710,7,82.6,36.4,29.1,5.5,7.41,0,77.7,73.1,7.08,Good
VTU72087,1,64.6,13.3,20.5,2.1,5.94,4,49.6,32.1,3.71,Poor
VTU77578,8,57.7,16.1,19.1,2.3,4.38,5,61.2,23.0,5.99,Poor
VTU34446,4,69.2,30.8,33.5,4.2,4.7,3,60.4,58.6,5.81,Average
VTU21271,2,72.9,40.1,37.2,0.9,6.13,1,58.9,53.3,5.8,Average
VTU16134,5,45.2,36.1,23.7,3.3,7.24,1,56.8,53.4,6.1,Average
VTU67489,3,77.8,37.8,20.4,4.0,6.97,2,74.1,52.1,7.78,Good
VTU72559,2,54.1,24.5,19.9,1.8,4.65,5,35.5,44.3,4.68,Poor
VTU93171,5,87.0,48.9,41.3,4.7,9.32,1,79.9,77.2,9.19,Excellent
VTU99064,6,75.9,28.1,42.2,8.2,8.97,1,89.2,69.7,8.75,Excellent
VTU41242,1,58.9,27.9,37.4,5.3,6.76,0,82.7,86.3,7.6,Good
VTU34835,5,64.5,27.4,18.6,2.6,6.43,2,51.9,45.9,6.0,Average
VTU11213,7,71.4,20.5,15.7,0.6,6.17,3,57.0,72.9,6.01,Average
VTU37790,4,64.8,29.9,31.2,2.9,7.02,1,63.7,43.6,6.18,Average
VTU79887,3,64.1,15.3,20.8,2.1,5.52,0,48.6,46.2,4.93,Poor
VTU56022,6,80.1,27.3,35.9,2.5,5.5,0,74.0,66.1,7.19,Good
VTU50038,3,84.6,31.8,25.3,4.7,7.56,1,67.3,45.4,6.9,Good
VTU47013,8,66.7,30.9,23.9,2.5,8.28,0,72.7,71.2,7.99,Good
VTU12519,1,73.4,25.3,20.2,3.1,7.23,1,60.5,32.8,6.88,Average
VTU11528,3,68.7,15.9,20.0,1.2,5.33,3,63.4,47.9,7.1,Average
VTU67453,5,76.2,36.3,32.3,3.2,5.5,0,70.3,94.4,7.75,Good
VTU54263,1,68.9,30.6,25.3,2.7,7.18,0,68.3,91.7,7.12,Good
VTU77902,7,54.5,21.3,15.7,2.7,4.79,2,45.8,37.2,5.69,Poor
VTU59805,2,70.9,32.2,37.3,5.3,6.79,1,69.4,83.0,7.62,Good
VTU42112,6,77.2,38.0,41.3,4.0,7.87,2,83.9,62.9,8.08,Good
VTU68269,8,80.0,43.3,41.4,1.2,6.33,0,68.4,77.2,7.19,Good
VTU53477,3,59.0,31.4,33.1,5.0,8.12,0,83.7,49.9,6.92,Good
VTU68052,3,85.4,38.7,27.8,6.7,8.1,1,60.8,69.4,7.95,Good
VTU72194,4,62.8,12.2,16.8,3.0,4.88,3,63.4,20.6,3.27,Poor
VTU83563,7,48.6,20.4,9.2,3.1,4.99,2,61.1,31.6,5.55,Poor
VTU89428,5,81.3,42.8,39.3,7.5,7.62,0,85.0,78.0,9.84,Excellent
VTU41826,1,76.0,37.1,30.3,1.8,6.74,0,77.5,64.4,6.69,Good
VTU39595,7,75.7,37.7,28.2,5.4,5.71,1,94.5,72.6,6.86,Good
VTU01439,1,69.7,27.9,25.4,3.1,4.58,2,59.5,56.2,5.83,Average
VTU35746,8,52.9,29.6,19.3,1.9,4.2,4,69.4,32.1,5.84,Average
VTU08090,3,60.1,25.1,28.8,2.7,6.29,2,69.2,31.3,5.06,Average
VTU19402,1,63.6,25.6,21.7,2.9,7.15,0,66.2,78.6,5.36,Average
VTU84516,6,62.5,11.8,6.9,2.7,4.32,0,72.1,42.0,3.97,Poor
VTU66527,5,81.0,39.8,45.7,5.0,7.11,1,88.8,83.1,6.28,Good
VTU71762,5,43.7,10.0,10.8,0.0,4.22,0,72.7,26.6,5.03,Poor
VTU82671,1,52.5,14.0,11.9,0.5,4.16,1,49.6,24.1,4.74,Poor
VTU90856,3,99.4,38.9,34.0,9.4,7.35,2,97.7,63.1,8.14,Excellent
VTU65419,1,75.6,37.1,37.1,6.2,7.79,1,68.9,63.1,7.25,Good
VTU43773,3,74.5,29.7,28.5,5.2,7.49,0,71.0,73.6,7.2,Good
VTU26347,3,63.4,31.9,28.8,4.3,6.09,1,83.7,63.5,7.3,Average
VTU91294,3,99.5,35.0,31.2,4.0,9.22,0,85.1,86.7,8.28,Excellent
VTU39412,4,86.1,34.6,30.3,6.4,7.13,2,67.9,59.9,7.7,Good
VTU54953,2,82.3,42.3,23.4,4.8,7.9,0,79.8,76.8,7.15,Good
VTU98381,7,78.0,41.7,42.8,3.0,6.8,0,84.8,84.2,9.16,Excellent
VTU06132,1,59.8,15.6,25.9,2.8,6.77,1,52.9,41.8,5.4,Average
VTU72419,6,58.5,23.0,13.8,0.0,4.0,2,61.5,32.8,4.69,Poor
VTU25032,3,54.4,28.8,29.9,3.2,5.93,2,75.6,58.7,6.22,Average
VTU08043,1,51.3,31.6,31.6,2.9,4.79,2,57.0,50.8,6.49,Average
VTU79187,3,63.6,23.0,11.6,0.0,5.19,6,42.3,30.5,4.81,Poor
VTU87725,6,50.9,17.6,13.4,0.3,3.73,8,59.7,30.4,4.52,Poor
VTU39272,3,68.3,29.2,25.5,4.7,8.12,2,72.5,78.8,7.47,Good
VTU14193,8,61.9,17.2,20.6,3.7,5.5,2,81.4,40.2,6.6,Average
VTU55927,8,82.7,33.6,36.2,1.2,8.03,0,73.6,65.4,6.84,Good
VTU29836,7,47.4,19.9,23.4,1.7,5.97,1,64.4,56.8,5.37,Average
VTU31500,2,72.9,26.8,31.4,2.0,6.33,1,70.2,28.9,6.46,Average
VTU06699,7,54.3,27.6,18.3,1.0,5.83,0,45.8,63.3,5.43,Average
VTU09181,8,64.1,34.8,25.4,0.6,5.2,0,67.0,33.3,5.79,Average
VTU22465,3,84.2,38.7,22.6,2.3,5.46,2,77.5,66.1,6.14,Average
VTU00963,1,66.9,23.9,21.7,3.0,6.24,2,65.3,37.4,6.47,Average
VTU90442,2,94.3,35.0,46.7,4.2,8.08,1,80.2,68.9,8.06,Excellent
VTU67075,6,73.1,38.3,34.7,7.4,7.97,1,71.5,56.5,8.46,Good
VTU04293,5,50.9,35.7,20.5,3.9,7.5,3,62.3,59.1,4.88,Average
VTU88847,8,84.2,46.8,43.4,8.6,9.33,1,87.6,81.0,8.92,Excellent
VTU83621,5,48.7,15.8,12.5,1.3,4.64,1,36.9,33.0,4.29,Poor
VTU01167,6,78.2,27.7,25.7,3.5,5.65,2,70.2,77.5,5.72,Average
VTU44711,1,75.8,41.8,17.0,4.2,5.95,0,93.0,74.1,8.13,Good
VTU95939,5,78.8,46.7,49.4,4.8,8.29,2,100.0,68.3,7.72,Excellent
VTU75327,5,57.4,24.2,8.6,3.6,5.02,1,47.9,30.0,4.31,Poor
VTU92766,1,89.8,42.2,37.9,3.7,8.48,0,92.7,74.9,9.03,Excellent
VTU48187,7,63.4,28.2,28.4,2.8,8.07,0,71.9,67.7,7.44,Good
VTU92143,7,74.9,47.0,45.0,6.1,7.67,1,83.3,83.6,8.04,Excellent
VTU21083,1,79.5,38.2,20.1,2.7,5.56,2,59.3,76.6,6.16,Average
VTU21591,6,67.9,26.5,34.9,0.6,7.28,1,63.3,65.9,5.98,Average
VTU17662,1,51.0,27.6,25.8,2.4,5.94,1,57.2,65.7,5.47,Average
VTU42820,7,72.1,41.4,34.5,6.0,8.8,1,76.4,54.7,6.57,Good
VTU62606,8,63.2,39.1,26.7,4.4,6.6,1,61.9,45.1,6.62,Good
VTU84099,3,60.0,17.6,18.8,1.5,5.29,0,34.7,46.4,5.23,Poor
VTU92204,3,97.5,35.7,48.5,7.6,8.14,0,80.4,96.2,8.37,Excellent
VTU89576,6,98.0,41.2,38.9,4.7,9.1,0,88.7,64.4,8.09,Excellent
VTU93605,1,93.7,46.0,42.6,8.2,9.04,0,77.4,87.0,9.79,Excellent
VTU49866,2,64.4,33.4,35.0,5.2,7.74,1,88.5,88.6,7.77,Good
VTU44718,6,76.8,26.5,35.1,8.3,7.13,1,85.2,77.4,7.85,Good
VTU97154,8,86.9,50.0,38.8,4.4,7.86,0,76.1,80.7,8.74,Excellent
VTU83400,4,48.2,9.3,9.8,0.7,5.49,6,49.7,39.0,4.14,Poor
VTU77255,2,57.1,20.8,16.0,1.2,4.68,2,64.6,51.4,5.38,Poor
VTU63622,3,87.1,31.7,25.1,4.1,6.85,0,73.6,72.3,8.7,Good
VTU26780,6,53.8,35.6,23.8,1.2,7.1,0,47.1,50.8,6.62,Average
VTU72488,6,33.9,6.7,17.7,1.0,3.73,0,63.8,48.5,5.59,Poor
VTU43917,8,71.8,35.0,42.9,6.4,7.61,0,66.9,78.1,8.7,Good
VTU16055,7,68.6,36.6,24.3,2.8,6.61,1,71.5,58.0,6.42,Average
VTU41159,2,75.3,33.1,32.0,6.4,7.12,1,70.5,64.2,7.2,Good
VTU33251,5,74.1,22.1,21.5,3.2,6.44,2,61.1,32.7,6.18,Average
VTU16456,8,68.9,28.2,34.5,2.5,5.42,1,59.0,65.3,5.59,Average
VTU54162,7,78.4,34.8,30.0,4.1,6.47,0,79.4,59.8,7.76,Good
VTU47054,7,70.7,30.6,34.7,5.1,5.82,1,69.7,78.9,7.44,Good
VTU50745,8,71.6,24.9,26.8,6.5,6.81,0,79.1,60.7,7.11,Good
VTU03025,8,47.2,17.6,28.8,3.8,5.96,2,70.3,48.9,6.47,Average
VTU55791,3,65.4,35.9,30.8,5.6,7.06,1,76.1,68.1,6.54,Good
VTU26751,1,78.3,33.0,19.8,3.5,4.56,0,65.4,44.5,5.99,Average
VTU44560,3,76.1,30.9,33.8,6.8,7.41,1,68.8,71.7,7.28,Good
VTU89024,3,71.5,49.7,37.4,6.7,7.42,0,76.6,57.1,8.85,Excellent
VTU26052,2,88.9,32.4,16.5,1.8,5.84,2,73.6,57.5,6.62,Average
VTU34794,2,55.4,27.1,33.8,0.7,5.59,3,56.6,40.9,5.41,Average
VTU49279,1,85.2,38.5,31.8,3.2,7.39,2,72.1,44.5,7.15,Good
VTU07679,8,58.3,38.4,20.7,3.8,6.5,2,68.6,59.7,6.69,Average
VTU14705,7,50.6,19.1,25.0,3.4,7.36,4,48.2,63.8,6.02,Average
VTU48801,2,88.9,35.1,25.0,4.6,6.43,0,78.0,52.7,7.85,Good
VTU25743,2,70.0,28.7,15.0,3.8,6.62,1,58.3,57.8,5.58,Average
VTU70009,2,37.1,20.0,17.4,1.3,4.97,2,50.9,41.5,5.16,Poor
VTU47364,8,78.1,37.6,35.9,2.6,7.3,0,70.4,66.9,7.77,Good
VTU77523,1,36.3,18.5,17.8,0.5,5.73,5,50.7,29.8,5.18,Poor
VTU94892,2,79.1,44.0,40.3,8.7,9.07,1,83.6,74.7,7.5,Excellent
VTU38973,8,72.2,35.9,28.7,2.0,8.22,1,78.4,70.9,7.44,Good
VTU49906,1,69.5,37.6,25.5,3.6,7.85,2,83.2,59.9,7.12,Good
VTU82493,1,47.9,6.6,27.3,1.8,5.12,7,58.6,36.9,4.17,Poor
VTU89473,7,84.9,49.7,37.0,5.0,8.53,0,82.4,80.1,8.99,Excellent
VTU00138,4,61.9,33.2,26.9,1.8,5.62,1,70.4,49.7,6.48,Average
VTU11289,6,57.5,30.6,30.8,1.6,6.71,0,85.7,48.3,5.25,Average
VTU99645,4,84.1,40.3,42.7,5.8,7.97,0,100.0,64.6,8.89,Excellent
VTU33195,4,53.1,24.8,22.0,1.8,5.66,2,57.7,62.0,5.89,Average
VTU80155,6,43.2,30.5,8.4,1.9,4.17,5,58.1,35.2,4.8,Poor
VTU17961,3,76.7,29.1,23.7,4.7,6.49,2,82.9,59.9,6.18,Average
VTU85211,3,51.6,20.5,5.3,2.9,2.67,2,61.4,48.9,4.69,Poor
VTU46603,3,77.5,40.3,30.4,6.9,5.5,1,68.3,62.5,7.71,Good
VTU97090,2,72.9,36.3,42.6,3.6,7.53,0,89.8,80.2,9.65,Excellent
VTU88635,7,99.1,47.1,33.9,7.4,9.3,0,88.5,87.0,7.5,Excellent
VTU89636,6,91.2,45.4,34.9,6.8,9.05,0,88.7,67.9,8.92,Excellent
VTU15679,8,58.0,22.6,37.3,4.6,6.03,2,72.6,56.2,5.21,Average
VTU60721,1,71.8,26.2,32.2,4.0,7.2,0,78.0,51.3,6.89,Good
VTU21710,2,58.4,33.5,29.9,3.5,6.44,3,65.5,48.5,5.32,Average
VTU25757,1,47.9,25.7,21.7,3.0,6.81,0,39.2,40.6,6.27,Average
VTU64837,6,93.9,40.4,25.9,7.8,7.92,0,79.3,67.9,7.83,Good
VTU77009,2,33.8,25.0,16.1,1.8,5.11,4,56.5,30.5,6.0,Poor
VTU85449,6,75.0,34.7,21.4,2.5,3.77,3,65.0,40.6,4.92,Poor
VTU32158,1,61.2,24.9,25.6,3.2,4.91,3,75.4,19.1,5.85,Average
VTU43622,5,96.1,41.4,34.2,3.7,7.29,2,81.6,55.6,7.37,Good
VTU41684,2,87.0,35.3,30.1,5.7,6.71,0,76.3,73.4,7.63,Good
VTU66844,2,75.5,30.1,26.2,5.3,6.69,0,81.7,66.1,7.66,Good
VTU09595,4,66.0,26.8,25.0,1.3,5.02,3,47.7,60.2,7.3,Average
VTU87296,4,42.9,20.1,18.3,2.3,3.74,6,80.0,26.2,4.75,Poor
VTU71913,7,48.1,17.2,22.2,1.2,5.58,1,40.4,31.3,4.34,Poor
VTU98430,3,92.1,38.2,43.4,5.0,8.09,1,83.8,83.8,7.63,Excellent
VTU65756,5,66.3,27.2,37.8,4.7,7.51,0,81.4,62.9,6.73,Good
VTU02504,7,59.2,27.4,25.4,1.1,5.94,2,49.4,54.3,5.31,Average
VTU45678,7,97.0,38.3,29.6,4.8,7.9,0,75.1,68.7,7.85,Good
VTU84277,5,48.1,13.8,14.8,0.3,5.21,3,54.2,45.4,4.61,Poor
VTU08988,4,59.2,22.1,20.4,0.6,6.2,1,65.4,38.3,6.17,Average
VTU97601,3,86.6,32.9,46.6,4.9,8.13,2,89.9,61.7,8.95,Excellent
VTU11580,3,58.2,28.9,26.8,4.9,6.54,3,67.6,55.1,7.3,Average
VTU02763,1,73.5,26.7,22.6,1.0,7.19,1,61.3,46.2,4.99,Average
VTU54047,3,89.4,29.3,37.1,4.3,7.07,2,89.6,59.0,6.5,Good
VTU33811,3,79.6,26.5,24.0,4.1,6.44,5,75.8,52.5,6.18,Average
VTU01492,1,89.3,33.0,30.5,0.6,7.5,0,59.0,61.3,6.95,Average
VTU09009,2,67.9,28.8,22.9,5.2,4.42,1,48.0,43.4,6.21,Average
VTU26773,3,61.4,24.9,17.5,3.3,5.53,1,54.6,61.0,6.41,Average
VTU45245,8,64.9,35.5,34.4,7.3,7.57,0,76.8,49.7,8.09,Good
VTU34200,6,68.4,33.1,30.9,0.6,7.5,0,78.9,56.9,6.13,Average
VTU94540,3,77.1,43.4,36.9,6.7,8.73,0,92.5,67.0,7.5,Excellent
VTU23338,3,67.0,28.5,29.2,4.1,5.09,0,84.0,43.9,5.8,Average
VTU80784,6,40.7,17.9,13.7,0.3,4.27,1,56.7,24.7,4.82,Poor
VTU62798,8,77.4,28.5,20.1,3.5,6.58,1,70.2,80.3,7.05,Good
VTU16581,8,65.6,39.1,7.9,0.6,6.73,4,32.0,61.5,6.42,Average
VTU34439,7,63.3,27.6,21.4,1.5,4.83,3,58.0,40.9,5.12,Average
VTU29647,5,59.7,27.8,32.9,1.7,5.7,1,88.4,43.9,5.45,Average
VTU10310,6,71.8,18.4,31.6,1.0,5.64,4,57.5,55.7,6.48,Average
VTU87758,7,57.6,20.1,17.6,1.7,4.33,0,54.7,36.5,3.73,Poor
VTU07707,1,80.0,27.8,22.7,3.0,5.09,1,62.8,55.5,5.83,Average
VTU49525,1,62.7,26.2,46.9,4.0,8.08,1,80.8,52.5,7.4,Good
VTU62384,8,64.7,39.0,23.8,6.5,8.15,0,75.6,54.0,7.4,Good
VTU56709,2,79.1,26.3,43.0,3.0,7.93,1,61.2,82.6,8.23,Good
VTU75984,6,51.4,14.9,16.4,0.3,4.46,1,26.8,6.4,5.51,Poor
VTU61538,4,97.0,39.9,32.4,5.4,8.67,0,78.8,62.8,6.63,Good
VTU48963,7,85.0,31.6,15.6,5.3,6.96,0,73.7,42.5,7.88,Good
VTU97604,5,98.5,44.0,41.8,7.8,8.59,0,82.4,85.0,8.19,Excellent
VTU54459,1,59.6,43.1,40.5,6.5,6.44,0,57.3,67.5,7.64,Good
VTU84016,5,61.4,19.9,17.3,1.7,4.26,3,41.4,34.0,4.75,Poor
VTU93898,5,87.2,45.7,42.6,8.3,8.16,1,95.8,81.1,8.18,Excellent
VTU05094,3,81.2,27.4,36.9,2.7,6.21,5,44.4,33.0,6.84,Average
VTU48797,5,60.6,29.3,33.3,8.1,6.39,0,70.5,82.3,7.06,Good
VTU82568,3,25.6,22.9,12.2,3.2,4.63,1,61.7,45.4,4.23,Poor
VTU79965,6,45.9,26.4,17.3,3.7,3.08,5,55.6,11.2,4.92,Poor
VTU18594,1,69.5,22.4,20.9,0.9,5.55,1,78.5,68.9,6.38,Average
VTU38138,3,78.0,33.6,39.0,5.7,7.45,1,87.0,73.2,7.82,Good
VTU43417,8,83.1,33.4,31.2,4.1,7.7,1,66.3,65.2,7.96,Good
VTU95108,1,100.0,45.5,35.5,5.7,8.34,0,95.1,89.1,7.71,Excellent
VTU64245,6,76.5,41.4,31.4,3.7,6.6,0,80.5,70.0,7.59,Good
VTU80763,4,39.9,17.8,17.1,2.1,4.77,7,54.7,43.8,4.54,Poor
VTU83021,8,40.5,9.4,6.8,1.7,5.25,5,51.0,31.8,3.32,Poor
VTU14086,3,60.1,30.1,21.3,1.6,5.71,1,83.2,62.2,5.96,Average
VTU38668,3,70.3,34.4,31.6,2.3,6.29,0,74.8,67.9,7.43,Good
VTU35204,5,67.3,39.9,23.3,3.4,5.04,1,81.1,38.0,6.77,Average
VTU84502,1,50.0,24.1,7.6,0.0,4.16,4,43.0,24.5,4.09,Poor
VTU63745,3,87.7,31.3,26.9,1.2,6.47,3,97.0,67.0,6.42,Good
VTU39154,8,85.7,37.2,28.0,8.4,7.52,0,62.6,53.6,8.24,Good
VTU36241,4,47.6,29.0,24.9,4.6,6.15,2,68.5,61.6,5.95,Average
VTU76139,5,60.6,27.7,12.6,3.1,5.28,6,55.7,35.5,4.09,Poor
VTU23743,6,61.6,20.4,30.8,3.5,6.66,1,53.1,50.9,5.96,Average
VTU33142,8,83.8,28.6,32.2,3.7,7.26,4,59.6,79.0,6.02,Average
VTU70840,4,50.4,19.3,21.5,2.6,4.65,1,63.4,13.5,5.97,Poor
VTU53179,5,90.6,31.2,31.8,4.6,6.77,1,72.1,68.2,7.52,Good
VTU32848,3,75.0,16.8,28.0,3.7,5.76,0,61.3,54.0,6.55,Average
VTU66993,8,72.6,33.9,30.9,1.6,6.72,1,74.5,67.2,7.76,Good
VTU87196,6,56.9,16.4,11.3,2.8,4.92,0,61.5,17.6,4.46,Poor
VTU98008,4,94.8,37.4,38.6,5.4,8.36,0,82.9,75.7,9.69,Excellent
VTU41564,4,77.9,29.5,27.6,4.8,7.12,0,84.5,47.0,7.14,Good
VTU31939,6,62.7,30.8,23.7,3.0,6.14,2,60.8,55.8,5.74,Average
VTU53326,3,81.3,44.3,22.4,3.2,7.31,0,76.9,85.5,7.9,Good
VTU34051,7,48.8,37.2,29.3,2.5,5.71,0,63.3,47.4,5.37,Average
VTU77445,7,48.0,31.9,15.2,1.8,4.2,4,30.6,18.6,4.92,Poor
VTU10054,1,54.6,21.0,23.4,5.1,6.15,1,50.6,24.8,6.42,Average
VTU38544,3,85.1,29.7,21.9,9.0,5.5,2,82.4,75.7,7.84,Good
VTU95427,7,76.6,27.5,35.7,7.2,8.17,0,90.3,62.4,8.49,Excellent
VTU16327,8,72.9,21.6,20.9,3.3,6.12,5,55.0,57.2,5.85,Average
VTU06891,5,74.6,32.6,24.7,1.0,5.39,2,70.7,52.2,5.79,Average
VTU46726,2,82.0,37.6,26.2,3.4,5.94,0,66.3,56.7,7.58,Good
VTU66429,2,79.3,26.6,29.2,2.9,6.88,0,92.6,57.1,7.84,Good
VTU72317,5,56.4,22.9,7.7,2.2,4.75,0,34.2,45.4,5.16,Poor
VTU10662,4,67.3,41.0,26.6,4.5,5.0,1,61.8,58.8,4.8,Average
VTU62039,5,89.6,31.1,27.5,7.0,6.42,1,76.6,93.7,6.76,Good
VTU34882,1,60.8,29.7,27.2,1.4,4.57,1,62.6,48.3,4.8,Average
VTU20475,3,72.0,35.2,25.1,4.7,6.48,1,59.8,48.9,5.96,Average
VTU09619,8,74.8,30.5,19.1,3.0,7.0,3,57.5,53.6,7.04,Average
VTU23160,6,62.4,28.0,11.4,2.9,5.58,3,68.1,68.2,4.8,Average
VTU97127,1,65.7,43.5,40.1,6.5,9.73,0,74.6,74.1,8.1,Excellent
VTU23047,4,60.2,14.9,18.6,2.9,6.28,0,69.0,57.8,6.14,Average
VTU79078,1,55.0,10.9,17.9,2.1,4.11,6,64.7,25.6,4.98,Poor
VTU36421,8,69.2,30.3,22.5,3.4,5.32,5,44.7,49.4,6.6,Average
VTU96289,6,81.6,45.6,38.8,7.6,8.82,0,75.1,72.8,8.5,Excellent
VTU16381,2,56.1,32.4,33.2,1.3,6.47,1,63.7,44.4,6.42,Average
VTU52062,8,71.4,33.1,28.8,3.4,6.96,0,75.7,93.7,7.21,Good
VTU97334,7,84.7,50.0,22.4,8.5,8.23,2,78.3,62.9,7.74,Excellent
VTU50942,4,77.4,29.3,34.5,7.3,7.53,0,76.2,66.6,7.38,Good
VTU95461,3,85.8,50.0,42.6,8.7,10.0,0,82.4,86.7,8.64,Excellent
VTU65522,2,93.1,36.5,24.3,1.5,8.8,2,52.1,68.2,6.97,Good
VTU55290,2,74.5,38.2,30.1,1.2,5.6,0,77.5,49.2,8.17,Good
VTU04784,1,55.7,43.2,19.7,2.3,6.89,3,64.0,47.6,6.88,Average
VTU92471,7,90.9,41.5,28.5,7.1,6.8,0,88.5,90.8,8.23,Excellent
VTU39092,8,94.4,34.3,35.9,4.1,7.21,0,88.0,73.6,6.39,Good
VTU81474,4,32.1,27.9,25.8,1.5,4.53,6,71.2,45.3,5.66,Poor
VTU14919,3,64.4,30.2,20.5,3.0,5.42,0,68.9,41.2,6.09,Average
VTU12291,8,60.6,31.0,22.9,2.6,5.86,2,66.1,41.1,6.71,Average
VTU68605,7,68.7,31.1,33.4,6.5,7.67,0,70.5,71.3,8.08,Good
VTU09554,1,62.8,17.3,17.1,3.5,5.36,2,59.1,58.3,7.23,Average
VTU43884,4,84.6,36.2,24.0,6.4,6.84,1,71.2,80.5,7.22,Good
VTU66462,3,71.3,26.4,17.7,4.5,6.79,0,66.0,80.4,6.38,Good
VTU10980,5,68.6,30.7,14.3,4.0,5.76,1,52.9,33.9,5.73,Average
VTU39976,1,78.4,29.0,21.3,3.3,6.03,0,80.7,70.9,7.9,Good
VTU46598,5,71.0,28.2,43.4,8.5,7.58,0,71.4,81.6,6.25,Good
VTU47320,7,66.0,33.4,32.8,4.6,6.67,0,65.2,92.7,7.29,Good
